,LV ActivePower (kW),Wind Speed (m/s)
2018-01-01 00:00:00,380.047790527343,5.31133604049682
2018-01-01 00:10:00,453.76919555664,5.67216682434082
2018-01-01 00:20:00,306.376586914062,5.21603679656982
2018-01-01 00:30:00,419.645904541015,5.6596741676330495
2018-01-01 00:40:00,380.650695800781,5.57794094085693
2018-01-01 00:50:00,402.391998291015,5.6040520668029705
2018-01-01 01:00:00,447.605712890625,5.79300785064697
2018-01-01 01:10:00,387.2421875,5.30604982376098
2018-01-01 01:20:00,463.651214599609,5.58462905883789
2018-01-01 01:30:00,439.725708007812,5.523228168487541
2018-01-01 01:40:00,498.181701660156,5.72411584854125
2018-01-01 01:50:00,526.816223144531,5.93419885635375
2018-01-01 02:00:00,710.587280273437,6.54741382598876
2018-01-01 02:10:00,655.194274902343,6.19974613189697
2018-01-01 02:20:00,754.7625122070309,6.505383014678951
2018-01-01 02:30:00,790.173278808593,6.634116172790519
2018-01-01 02:40:00,742.985290527343,6.37891292572021
2018-01-01 02:50:00,748.229614257812,6.446652889251701
2018-01-01 03:00:00,736.647827148437,6.41508293151855
2018-01-01 03:10:00,787.246215820312,6.4375309944152805
2018-01-01 03:20:00,722.8640747070309,6.220024108886711
2018-01-01 03:30:00,935.033386230468,6.89802598953247
2018-01-01 03:40:00,1220.60900878906,7.6097111701965305
2018-01-01 03:50:00,1053.77197265625,7.28835582733154
2018-01-01 04:00:00,1493.8079833984302,7.94310188293457
2018-01-01 04:10:00,1724.4880371093698,8.376161575317381
2018-01-01 04:20:00,1636.93505859375,8.23695755004882
2018-01-01 04:30:00,1385.4880371093698,7.87959098815917
2018-01-01 04:40:00,1098.93200683593,7.10137605667114
2018-01-01 04:50:00,1021.4580078125,6.9553070068359295
2018-01-01 05:00:00,1164.89294433593,7.0982980728149405
2018-01-01 05:10:00,1073.33203125,6.95363092422485
2018-01-01 05:20:00,1165.30798339843,7.24957799911499
2018-01-01 05:30:00,1177.98999023437,7.29469108581542
2018-01-01 05:40:00,1170.53601074218,7.37636995315551
2018-01-01 05:50:00,1145.53601074218,7.44855403900146
2018-01-01 06:00:00,1114.02697753906,7.239252090454099
2018-01-01 06:10:00,1153.18505859375,7.32921123504638
2018-01-01 06:20:00,1125.3310546875,7.13970518112182
2018-01-01 06:30:00,1228.73205566406,7.47422885894775
2018-01-01 06:40:00,1021.79302978515,7.03317403793334
2018-01-01 06:50:00,957.378173828125,6.88645505905151
2018-01-01 07:00:00,909.887817382812,6.887821197509759
2018-01-01 07:10:00,1000.95397949218,7.21643209457397
2018-01-01 07:20:00,1024.47802734375,7.068597793579099
2018-01-01 07:30:00,1009.53399658203,6.93829584121704
2018-01-01 07:40:00,899.4929809570309,6.53668785095214
2018-01-01 07:50:00,725.110107421875,6.180624961853019
2018-01-01 08:00:00,585.2593994140619,5.816825866699211
2018-01-01 08:10:00,443.913909912109,5.45015096664428
2018-01-01 08:20:00,565.2537841796869,5.81814908981323
2018-01-01 08:30:00,644.037780761718,6.13027286529541
2018-01-01 08:40:00,712.0588989257809,6.34707784652709
2018-01-01 08:50:00,737.394775390625,6.3474369049072195
2018-01-01 09:00:00,725.868103027343,6.19436883926391
2018-01-01 09:10:00,408.997406005859,4.97719812393188
2018-01-01 09:20:00,628.436828613281,5.959111213684079
2018-01-01 09:30:00,716.1005859375,6.21137619018554
2018-01-01 09:40:00,711.49560546875,6.111453056335441
2018-01-01 09:50:00,838.1519165039059,6.456322193145749
2018-01-01 10:00:00,881.0620727539059,6.66665792465209
2018-01-01 10:10:00,663.703125,6.16287899017333
2018-01-01 10:20:00,578.2615966796869,6.0131678581237695
2018-01-01 10:30:00,465.620086669921,5.5612030029296795
2018-01-01 10:40:00,311.050903320312,4.96073198318481
2018-01-01 10:50:00,230.05549621582,4.603875160217281
2018-01-01 11:00:00,233.99060058593702,4.55453395843505
2018-01-01 11:10:00,175.59219360351503,4.26362895965576
2018-01-01 11:20:00,118.133102416992,3.8941390514373704
2018-01-01 11:30:00,142.202499389648,4.038761138916009
2018-01-01 11:40:00,212.566192626953,4.505650997161861
2018-01-01 11:50:00,222.610000610351,4.54339790344238
2018-01-01 12:00:00,194.181198120117,4.323760986328121
2018-01-01 12:10:00,82.6407470703125,3.6344370841979905
2018-01-01 12:20:00,75.8952178955078,3.70551204681396
2018-01-01 12:30:00,41.947238922119105,3.25396800041198
2018-01-01 12:40:00,118.534599304199,3.77513694763183
2018-01-01 12:50:00,250.755905151367,4.69350099563598
2018-01-01 13:00:00,346.86441040039,5.00293922424316
2018-01-01 13:10:00,416.417907714843,5.364749908447259
2018-01-01 13:20:00,331.941497802734,5.01618194580078
2018-01-01 13:30:00,583.479919433593,5.97040796279907
2018-01-01 13:40:00,776.552673339843,6.655520915985099
2018-01-01 13:50:00,752.7263793945309,6.600903987884519
2018-01-01 14:00:00,589.0731201171869,5.981378078460691
2018-01-01 14:10:00,1109.12805175781,7.424593925476071
2018-01-01 14:20:00,1482.4599609375,8.18645191192626
2018-01-01 14:30:00,1523.4300537109302,8.27493000030517
2018-01-01 14:40:00,1572.17004394531,8.44920253753662
2018-01-01 14:50:00,1698.93994140625,8.5759744644165
2018-01-01 15:00:00,1616.8459472656198,8.28225994110107
