A Coruña,43.37135,-8.396
A Estrada,42.68911,-8.48842
Aabenraa,55.04434,9.41741
Aachen,50.77664,6.08342
Aalborg,57.048,9.9187
Aalen,48.83777,10.0933
Aalsmeer,52.25917,4.75972
Aalst,50.93604,4.0355
Aalten,51.925,6.58056
Aalter,51.09017,3.44693
Aarau,47.39254,8.04422
Aarschot,50.98715,4.83695
Aba,5.10658,7.36667
Abadan,30.3392,48.3043
Abadan,38.05415,58.19721
Abadeh,31.1608,52.6506
Abaeté,-19.16,-45.44583
Abaetetuba,-1.71806,-48.8825
Abakaliki,6.32485,8.11368
Abakan,53.71556,91.42917
Abancay,-13.63389,-72.88139
Abano Terme,45.35753,11.78725
Abasān al Kabīrah,31.31913,34.34005
Abashiri,44.02127,144.26971
Abasolo,20.44997,-101.53073
Abay,49.63575,72.86164
Abaza,52.655,90.09278
Abbeville,50.10521,1.83547
Abbiategrasso,45.39821,8.91678
Abbotsford,49.05798,-122.25257
Abbottabad,34.1463,73.21168
Ābdānān,32.9926,47.4198
Abdulino,53.7,53.66667
Abéché,13.82916,20.8324
Abengourou,6.72972,-3.49639
Abeokuta,7.15571,3.34509
Abepura,-2.5964,140.6324
Aberdare,51.71438,-3.44918
Aberdeen,57.14369,-2.09814
Aberdeen,39.50956,-76.16412
Aberdeen,45.4647,-98.48648
Aberdeen,46.97537,-123.81572
Abergele,53.28436,-3.5822
Aberystwyth,52.41548,-4.08292
Abha,18.21639,42.50528
Abhar,36.1468,49.218
Abhayāpuri,26.32255,90.68526
Abidjan,5.35444,-4.00167
Abiko,35.86667,140.01667
Abilene,32.44874,-99.73314
Abingdon,51.67109,-1.28278
Abington,42.10482,-70.94532
Abinsk,44.86803,38.15728
Abnūb,27.26881,31.15232
Abobo,5.41613,-4.0159
Abohar,30.14453,74.19552
Aboisso,5.46779,-3.20711
Abomey,7.18286,1.99119
Abomey-Calavi,6.44852,2.35566
Abomsa,9.98333,39.98333
Abony,47.1899,20.00476
Abou el Hassan,36.41657,1.19616
Abovyan,40.27368,44.63348
